week_start,Mode,subway_rides
2023-08-14,Subway,3092801.0
2023-08-13,Subway,1953558.0
2023-08-12,Subway,2366787.0
2023-08-11,Subway,3311714.0
2023-08-10,Subway,3429304.0
2023-08-09,Subway,3613062.0
2023-08-08,Subway,3510047.0
2023-08-07,Subway,3041001.0
2023-08-06,Subway,1910841.0
2023-08-05,Subway,2364364.0
2023-08-04,Subway,3228510.0
2023-08-03,Subway,3609076.0
2023-08-02,Subway,3640307.0
2023-08-01,Subway,3598379.0
2023-07-31,Subway,3204920.0
2023-07-30,Subway,1952433.0
2023-07-29,Subway,2251524.0
2023-07-28,Subway,3266199.0
2023-07-27,Subway,3580012.0
2023-07-26,Subway,3758378.0
2023-07-25,Subway,3630414.0
2023-07-24,Subway,3255379.0
2023-07-23,Subway,1984503.0
2023-07-22,Subway,2459990.0
2023-07-21,Subway,3227154.0
2023-07-20,Subway,3711017.0
2023-07-19,Subway,3679343.0
2023-07-18,Subway,3584819.0
2023-07-17,Subway,3282092.0
2023-07-16,Subway,1599858.0
2023-07-15,Subway,2326054.0
2023-07-14,Subway,3209393.0
2023-07-13,Subway,3648007.0
2023-07-12,Subway,3696737.0
2023-07-11,Subway,3613670.0
2023-07-10,Subway,3208730.0
2023-07-09,Subway,1776607.0
2023-07-08,Subway,2308794.0
2023-07-07,Subway,3292266.0
2023-07-06,Subway,3494806.0
2023-07-05,Subway,3318379.0
2023-07-04,Subway,1791179.0
2023-07-03,Subway,2662052.0
2023-07-02,Subway,1783757.0
2023-07-01,Subway,2239529.0
2023-06-30,Subway,3259767.0
2023-06-29,Subway,3653631.0
2023-06-28,Subway,3634270.0
2023-06-27,Subway,3744227.0
2023-06-26,Subway,3341322.0
2023-06-25,Subway,2222704.0
2023-06-24,Subway,2467994.0
2023-06-23,Subway,3470575.0
2023-06-22,Subway,3782472.0
2023-06-21,Subway,3902298.0
2023-06-20,Subway,3782810.0
2023-06-19,Subway,2636887.0
2023-06-18,Subway,1977582.0
2023-06-17,Subway,2399521.0
2023-06-16,Subway,3395938.0
2023-06-15,Subway,3928393.0
2023-06-14,Subway,3893073.0
2023-06-13,Subway,3968160.0
2023-06-12,Subway,3479404.0
2023-06-11,Subway,2075651.0
2023-06-10,Subway,2608756.0
2023-06-09,Subway,3425232.0
2023-06-08,Subway,3268529.0
2023-06-07,Subway,3743889.0
2023-06-06,Subway,3929131.0
2023-06-05,Subway,3544106.0
2023-06-04,Subway,1988330.0
2023-06-03,Subway,2411704.0
2023-06-02,Subway,3626490.0
2023-06-01,Subway,3894167.0
2023-05-31,Subway,3911382.0
2023-05-30,Subway,3714864.0
2023-05-29,Subway,1952779.0
2023-05-28,Subway,2029088.0
