pickup_date,total_trips
2022-05-29,91671.0
2022-05-30,83190.0
2022-05-31,113414.0
2022-06-01,121919.0
2022-06-02,125442.0
2022-06-03,124843.0
2022-06-04,122564.0
2022-06-05,102225.0
2022-06-06,112515.0
2022-06-07,127606.0
2022-06-08,129391.0
2022-06-09,132859.0
2022-06-10,128739.0
2022-06-11,121444.0
2022-06-12,99095.0
2022-06-13,118511.0
2022-06-14,125404.0
2022-06-15,130473.0
2022-06-16,129297.0
2022-06-17,125639.0
2022-06-18,116015.0
2022-06-19,98895.0
2022-06-20,100787.0
2022-06-21,121645.0
2022-06-22,123232.0
2022-06-23,130512.0
2022-06-24,124645.0
2022-06-25,119974.0
2022-06-26,93154.0
2022-06-27,104815.0
2022-06-28,114168.0
2022-06-29,117386.0
2022-06-30,114498.0
2022-07-01,102198.0
2022-07-02,86782.0
2022-07-03,74899.0
2022-07-04,64887.0
2022-07-05,94906.0
2022-07-06,103805.0
2022-07-07,108181.0
2022-07-08,104675.0
2022-07-09,96848.0
2022-07-10,85315.0
2022-07-11,97683.0
2022-07-12,113204.0
2022-07-13,118331.0
2022-07-14,118605.0
2022-07-15,111240.0
2022-07-16,107205.0
2022-07-17,90877.0
2022-07-18,97683.0
2022-07-19,115112.0
2022-07-20,118961.0
2022-07-21,117184.0
2022-07-22,110232.0
2022-07-23,104466.0
2022-07-24,91216.0
2022-07-25,95691.0
2022-07-26,110850.0
2022-07-27,115698.0
2022-07-28,116813.0
2022-07-29,110678.0
2022-07-30,102431.0
2022-07-31,87707.0
2022-08-01,92309.0
2022-08-02,108256.0
2022-08-03,110853.0
2022-08-04,113408.0
2022-08-05,108362.0
2022-08-06,105647.0
2022-08-07,87277.0
2022-08-08,97791.0
2022-08-09,112476.0
2022-08-10,85626.0
2022-08-11,114694.0
2022-08-12,108633.0
2022-08-13,100702.0
2022-08-14,85750.0
2022-08-15,92816.0
2022-08-16,104352.0
2022-08-17,107363.0
2022-08-18,109376.0
2022-08-19,105384.0
2022-08-20,101258.0
2022-08-21,86306.0
2022-08-22,91612.0
2022-08-23,105238.0
2022-08-24,107904.0
2022-08-25,109576.0
2022-08-26,105994.0
2022-08-27,103349.0
2022-08-28,87886.0
2022-08-29,91401.0
2022-08-30,105144.0
2022-08-31,105951.0
2022-09-01,106978.0
2022-09-02,103320.0
2022-09-03,96934.0
2022-09-04,88481.0
2022-09-05,80419.0
2022-09-06,102106.0
2022-09-07,118921.0
2022-09-08,124662.0
2022-09-09,125174.0
2022-09-10,117628.0
2022-09-11,101167.0
2022-09-12,110826.0
2022-09-13,122003.0
2022-09-14,124052.0
2022-09-15,127956.0
2022-09-16,125862.0
2022-09-17,59501.0
2022-09-18,82543.0
2022-09-19,105585.0
2022-09-20,106678.0
2022-09-21,102864.0
2022-09-22,109086.0
2022-09-23,119173.0
2022-09-24,117453.0
2022-09-25,99174.0
2022-09-26,97024.0
2022-09-27,113328.0
2022-09-28,122550.0
2022-09-29,126801.0
2022-09-30,123849.0
2022-10-01,118068.0
2022-10-02,95806.0
2022-10-03,108671.0
2022-10-04,109671.0
2022-10-05,114764.0
2022-10-06,123838.0
2022-10-07,125029.0
2022-10-08,122419.0
2022-10-09,98213.0
2022-10-10,94815.0
2022-10-11,119423.0
2022-10-12,124848.0
2022-10-13,128716.0
2022-10-14,127324.0
2022-10-15,127002.0
2022-10-16,108571.0
2022-10-17,111867.0
2022-10-18,124694.0
2022-10-19,129781.0
2022-10-20,132409.0
2022-10-21,129437.0
2022-10-22,128225.0
2022-10-23,105866.0
2022-10-24,111421.0
2022-10-25,123135.0
2022-10-26,128891.0
2022-10-27,132412.0
2022-10-28,132215.0
2022-10-29,127966.0
2022-10-30,108386.0
2022-10-31,101501.0
2022-11-01,120515.0
2022-11-02,126271.0
2022-11-03,131484.0
2022-11-04,130682.0
2022-11-05,130401.0
2022-11-06,104570.0
2022-11-07,112135.0
2022-11-08,121121.0
2022-11-09,128700.0
2022-11-10,132727.0
2022-11-11,117728.0
2022-11-12,130944.0
2022-11-13,114269.0
2022-11-14,82278.0
2022-11-15,90728.0
2022-11-16,92660.0
2022-11-17,95344.0
2022-11-18,95454.0
2022-11-19,94932.0
2022-11-20,81125.0
2022-11-21,108526.0
2022-11-22,114546.0
2022-11-23,105640.0
2022-11-24,69663.0
2022-11-25,86607.0
2022-11-26,99513.0
2022-11-27,90529.0
2022-11-28,106488.0
2022-11-29,119372.0
2022-11-30,117718.0
2022-12-01,130641.0
2022-12-02,129951.0
2022-12-03,129172.0
2022-12-04,111619.0
2022-12-05,113626.0
2022-12-06,120179.0
2022-12-07,125589.0
2022-12-08,133862.0
2022-12-09,135397.0
2022-12-10,129278.0
2022-12-11,107756.0
2022-12-12,112374.0
2022-12-13,124239.0
2022-12-14,129324.0
2022-12-15,131175.0
2022-12-16,127755.0
2022-12-17,125382.0
2022-12-18,102878.0
2022-12-19,112460.0
2022-12-20,116021.0
2022-12-21,113560.0
2022-12-22,102850.0
2022-12-23,95028.0
2022-12-24,75519.0
2022-12-25,50109.0
2022-12-26,67459.0
2022-12-27,86290.0
2022-12-28,89065.0
2022-12-29,93498.0
2022-12-30,92429.0
2022-12-31,85100.0
