ds,y,prediction_5,prediction,prediction_95
2021-01-10,29855.0,25996.3092168408,34510.721932736385,44982.05641221637
2021-01-11,46849.0,41182.67446723623,49703.78537884549,60079.552432665194
2021-01-12,50133.0,44422.20238900768,52015.23138362814,60144.78997477851
2021-01-13,51306.0,42329.65698214375,52447.580025347306,61373.84422163633
2021-01-14,53051.0,36816.85703282487,46029.53865209077,55168.26791817823
2021-01-15,53026.0,36532.09165626963,46926.925416629194,54997.47478433449
2021-01-16,38723.0,36147.80189755692,46474.21193454068,57524.372242211655
2021-01-17,31985.0,26790.663615712714,35494.51881359704,44136.84467966416
2021-01-18,37092.0,40752.08142008482,50356.97451361958,56699.82115581717
2021-01-19,51149.0,41564.91398969966,49342.82582945871,58505.75603147202
2021-01-20,49438.0,42110.61838422791,49222.21602062619,59927.106459695504
2021-01-21,53280.0,38286.10938702698,46177.13438684595,55641.47067787498
2021-01-22,54285.0,37489.48051612938,46373.560294862255,58472.850803632966
2021-01-23,42054.0,37427.37893662825,43992.30719359249,55543.7342665014
2021-01-24,31033.0,27019.196082569415,36366.0908604372,45265.21589826179
2021-01-25,47423.0,39828.83066348021,48611.44854067679,58035.26205442444
2021-01-26,47818.0,46851.66507349421,55700.99451341212,65046.52144102578
2021-01-27,52655.0,41210.86609652574,52599.259713660744,60244.29157036391
2021-01-28,56444.0,39541.751016632974,50590.326364974935,57742.76138859705
2021-01-29,54602.0,42153.71736261405,50355.28039009696,60056.119676119495
2021-01-30,39233.0,35529.79684462205,44714.43191732053,52706.24388686535
2021-01-31,31191.0,25265.935557466888,34930.23487850899,49206.53973003394
2021-02-01,6806.0,41558.94718592277,48964.82323855936,57613.875038866296
2021-02-02,29180.0,29692.177142785364,39141.53475587076,52208.58442014876
2021-02-03,55440.0,25545.703757084415,36160.50769481059,48685.405198449465
2021-02-04,59326.0,28045.60976677574,42517.47994558836,52003.45025040842
2021-02-05,57770.0,37571.933826903834,46429.774005986925,55089.03164688976
2021-02-06,49989.0,32296.990928547304,41553.846476462815,54422.56880401179
2021-02-07,27488.0,28007.397913518842,36418.14771576805,44718.91597096522
2021-02-08,51729.0,27544.481508214856,41958.72799812441,50034.6104388548
2021-02-09,52733.0,47400.86149087116,58499.74247372302,65460.98555973766
2021-02-10,57857.0,54171.016228406275,63100.72751384572,70109.63416766847
2021-02-11,58625.0,48920.391737467,58632.678532335514,67080.5853557743
2021-02-12,63611.0,49323.43068779919,55899.31003233214,67699.52669259513
2021-02-13,48355.0,40495.64711347156,47527.06165968585,55696.67197353549
2021-02-14,39672.0,29598.86118320341,38068.23033478664,47915.87407343958
2021-02-15,40322.0,39761.49046568866,50110.75229693824,57511.71135551639
2021-02-16,51211.0,47472.685794589386,56645.931354894696,65005.105518442135
2021-02-17,60166.0,51539.60094708561,61168.6155915953,70006.6271925722
2021-02-18,38121.0,49859.8967318168,58314.72189931076,71593.51866083116
2021-02-19,53029.0,41623.20108935396,50274.224766030384,57759.92651611462
2021-02-20,51340.0,25939.348020543075,38487.80452442083,48995.04791557227
2021-02-21,37119.0,22557.02755929844,33848.7102247456,44513.54861230094
2021-02-22,50700.0,33624.60060102116,43770.590470616495,55236.55353614774
2021-02-23,57160.0,45386.320299134284,57024.69027044982,67511.87190180112
2021-02-24,59969.0,55674.6820342695,65201.202781330205,73574.27257985635
2021-02-25,61984.0,46803.485534311425,57273.38853463923,66829.68230004846
2021-02-26,65394.0,54670.69136821229,62642.695330305425,71825.21154068616
2021-02-27,48981.0,44254.94462954214,53727.63808421478,67853.24589455899
2021-02-28,37619.0,32521.053314471672,40536.083530023076,48031.4868820247
