ds,y,prediction_5,prediction,prediction_95
2021-08-24,93733.0,75536.99334813353,90667.96007292329,102275.58028626167
2021-08-25,98428.0,87060.85528827421,97301.9141173159,104780.73969627442
2021-08-26,101124.0,89733.11578543964,98675.90947367449,107190.06362284042
2021-08-27,96582.0,90462.66753149837,98321.12554283236,108625.38990067157
2021-08-28,89008.0,83570.94597376004,93220.32201316467,101836.62973342974
2021-08-29,73010.0,58771.017201598974,69317.54502133961,78037.17142875632
2021-08-30,84107.0,77400.04644807303,85666.51442125195,94761.8856310824
2021-08-31,93718.0,88028.70388987138,96028.93102461747,105522.29559239479
2021-09-01,88185.0,90253.62028896541,99529.64010086871,111051.07816738554
2021-09-02,93100.0,89659.3044872205,97754.88474580413,107488.36929968889
2021-09-03,95630.0,84556.64581110881,94602.76246874615,104470.37614152257
2021-09-04,88527.0,76376.2475845333,89065.98470937283,99407.85399746413
2021-09-05,74209.0,55786.5338589497,68248.28522484834,77071.65241380726
2021-09-06,71712.0,72959.0449743232,83175.40744122495,95527.75201465316
2021-09-07,88673.0,82521.46258523276,91129.24018219583,99070.68185037425
2021-09-08,102042.0,82601.24609219667,92647.95330424872,101673.0581897286
2021-09-09,105817.0,91928.28382794141,99206.8619094473,111122.67869111942
2021-09-10,109813.0,90850.75240868813,100110.87275272972,108355.23448205231
2021-09-11,107560.0,88009.71548932897,96840.53586104771,109263.06086945176
2021-09-12,87232.0,74923.35481241306,82815.06377528772,91883.37213065839
2021-09-13,95735.0,85587.84307321731,93633.8422411033,102064.38050935649
2021-09-14,102209.0,98258.07869046413,107409.22346222721,114876.29168006642
2021-09-15,106884.0,100300.74985350056,110734.95679751056,119706.61955163084
2021-09-16,102456.0,102183.36574620774,112146.79753492362,121330.46181106368
2021-09-17,110693.0,99605.60042633551,108761.63091766924,119449.47374699939
2021-09-18,111362.0,94066.99290717025,102907.80588609978,110700.52561981759
2021-09-19,88272.0,77265.77223039318,86161.19928913479,95375.40774364825
2021-09-20,92218.0,84556.12925620096,95506.72602492568,107254.7474890518
2021-09-21,99871.0,98671.6908387591,106765.8262268751,119722.32528470164
2021-09-22,105877.0,100370.02543186076,109925.29948526109,121174.92620618425
2021-09-23,104169.0,101123.59683451713,109026.08608026293,117582.55594777688
2021-09-24,109419.0,101765.21481603743,109673.91102492632,118511.96688689952
2021-09-25,112977.0,94635.85467019974,104925.11537097799,115937.19255482369
2021-09-26,91222.0,75262.57310554967,85057.0171582113,93875.99118741714
2021-09-27,93752.0,85360.22631763587,95692.20941275002,106506.38684881417
2021-09-28,100970.0,94795.9526348969,106135.86681833005,117668.22475000971
2021-09-29,108179.0,99242.5028255213,110577.1944178917,119477.07889067449
2021-09-30,115013.0,98691.94134322858,110484.44831919213,118345.30773926298
2021-10-01,117104.0,106472.16943445933,114503.93281463014,123258.59527964759
2021-10-02,115086.0,103254.14585111578,111935.24541471392,121012.70528840325
2021-10-03,91230.0,83917.81933485252,91738.20793873463,101739.57991666165
2021-10-04,96858.0,85842.76462070132,97350.94843647289,107726.3617942012
2021-10-05,106648.0,99991.60261681376,108279.78241722753,117182.39602196787
2021-10-06,113020.0,104584.46180980738,113666.05420279407,122942.60797863739
2021-10-07,118556.0,105158.14536599886,115522.9693688956,123976.27121616757
2021-10-08,120242.0,112058.014414194,119935.87497969891,128971.04517588257
2021-10-09,116817.0,106917.75125350468,116621.87463706802,124486.31633108246
2021-10-10,93850.0,81710.11993991617,93465.36519785422,105108.34074559482
2021-10-11,86890.0,92215.82955920686,100352.51753956746,109290.0958089455
2021-10-12,108057.0,95610.81738818018,107452.06670616941,115957.85091940845
2021-10-13,112723.0,103508.31219225035,114383.67072536479,121824.23967635153
2021-10-14,121767.0,107577.06353398938,116131.02129647131,124876.21157586755
2021-10-15,124091.0,110319.97397157543,120328.93551664922,129567.20487401258
2021-10-16,121955.0,109284.1575943891,117605.40434287406,126421.86899360441
2021-10-17,100790.0,89742.22658188305,96639.28373857893,103288.98574448863
2021-10-18,103856.0,93225.26910294703,103189.25243723515,115590.09414876594
2021-10-19,110716.0,109650.19626131913,117054.01083493404,126914.8609471524
2021-10-20,119077.0,109375.07706410653,119677.98790505381,128231.33500600628
2021-10-21,122809.0,114538.7125613152,123750.89550458686,134448.33692294432
2021-10-22,122858.0,117052.43158931518,125568.16917612433,135147.1049025347
2021-10-23,119757.0,110991.35014355657,120685.9435494227,130755.39724432428
2021-10-24,98929.0,87894.6418031318,97707.37832075918,108390.94183209563
2021-10-25,99949.0,94497.66942274228,102535.9555478789,111944.0105624179
2021-10-26,101866.0,103154.28716089186,113794.1048276771,123232.03871423607
2021-10-27,119847.0,108038.22112872174,117301.61976725457,129449.22799627071
